W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time
win,Cory Sandhagen  Song Yadong,0  0,94  54,1  2,0  0,Bantamweight,KO/TKO,4,5:00
win,Gregory Rodrigues  Chidi Njokuani,1  0,48  44,1  0,0  0,Middleweight,KO/TKO  Punches,2,1:27
win,Andre Fili  Bill Algeo,0  0,59  81,1  0,2  0,Featherweight,S-DEC,3,5:00
win,Joe Pyfer  Alen Amedovski,1  0,14  11,0  0,0  0,Middleweight,KO/TKO  Punch,1,3:55
win,Rodrigo Nascimento  Tanner Boser,0  0,36  62,3  0,1  0,Heavyweight,S-DEC,3,5:00
win,Anthony Hernandez  Marc-Andre Barriault,0  0,39  25,8  0,2  0,Middleweight,SUB  Arm Triangle,3,1:53
win,Damon Jackson  Pat Sabatini,0  0,11  1,1  0,0  0,Featherweight,KO/TKO  Punches,1,1:09
win,Trevin Giles  Louis Cosce,0  0,25  10,2  1,0  1,Welterweight,U-DEC,3,5:00
win,Loma Lookboonmee  Denise Gomes,0  0,48  19,4  0,0  3,Women's Strawweight,U-DEC,3,5:00
win,Trey Ogden  Daniel Zellhuber,0  0,71  52,1  0,0  0,Lightweight,U-DEC,3,5:00
win,Gillian Robertson  Mariya Agapova,0  0,4  39,3  0,1  1,Women's Flyweight,SUB  Rear Naked Choke,2,2:19
win,Javid Basharat  Tony Gravely,0  0,80  33,2  2,0  0,Bantamweight,U-DEC,3,5:00
win,Nikolas Motta  Cameron VanCamp,1  0,24  15,0  0,0  0,Lightweight,KO/TKO  Punch,1,3:49
win,Nate Diaz  Tony Ferguson,0  0,101  80,0  1,1  0,Welterweight,SUB  Guillotine Choke,4,2:52
win,Khamzat Chimaev  Kevin Holland,0  0,0  0,2  0,2  0,Catch Weight,SUB  D'Arce Choke,1,2:13
win,Daniel Rodriguez  Li Jingliang,0  0,88  78,0  1,0  0,Catch Weight,S-DEC,3,5:00
win,Irene Aldana  Macy Chiasson,1  0,37  39,0  3,2  0,Catch Weight,KO/TKO  Kick,3,2:21
win,Johnny Walker  Ion Cutelaba,0  0,3  3,1  1,3  0,Light Heavyweight,SUB  Rear Naked Choke,1,4:37
win,Julian Erosa  Hakeem Dawodu,0  0,92  74,2  0,0  0,Featherweight,U-DEC,3,5:00
win,Jailton Almeida  Anton Turkalj,0  0,17  1,3  0,2  0,Catch Weight,SUB  Rear Naked Choke,1,4:27
win,Denis Tiuliulin  Jamie Pickett,2  0,73  60,0  0,0  0,Middleweight,KO/TKO  Punches,2,4:52
win,Chris Barnett  Jake Collier,0  1,54  51,0  1,0  1,Heavyweight,KO/TKO  Punches,2,2:24
win,Norma Dumont  Danyelle Wolf,1  0,52  20,2  0,0  0,Women's Featherweight,U-DEC,3,5:00
win,Alatengheili  Chad Anheliger,0  0,49  39,2  0,0  0,Bantamweight,U-DEC,3,5:00
win,Elise Reed  Melissa Martinez,1  0,38  45,3  1,0  0,Women's Strawweight,U-DEC,3,5:00
win,Yohan Lainesse  Darian Weeks,0  0,23  44,0  1,0  0,Welterweight,S-DEC,3,5:00
win,Ciryl Gane  Tai Tuivasa,1  1,110  29,0  0,0  0,Heavyweight,KO/TKO  Punches,3,4:23
win,Robert Whittaker  Marvin Vettori,0  0,74  33,1  0,0  0,Middleweight,U-DEC,3,5:00
win,Nassourdine Imavov  Joaquin Buckley,0  0,51  46,2  0,2  0,Middleweight,U-DEC,3,5:00
win,Roman Kopylov  Alessio Di Chirico,1  0,59  39,0  0,0  0,Middleweight,KO/TKO  Punches,3,1:09
win,William Gomis  Jarno Errens,0  0,32  20,3  0,0  1,Featherweight,U-DEC,3,5:00
win,Nathaniel Wood  Charles Jourdain,0  0,97  86,5  1,0  0,Featherweight,U-DEC,3,5:00
win,Abus Magomedov  Dustin Stoltzfus,1  0,7  0,0  0,0  0,Middleweight,KO/TKO  Punches,1,0:19
win,Nasrat Haqparast  John Makdessi,1  0,64  73,2  0,0  0,Lightweight,U-DEC,3,5:00
win,Fares Ziam  Michal Figlak,0  0,60  28,3  1,0  0,Lightweight,U-DEC,3,5:00
win,Benoit Saint Denis  Gabriel Miranda,3  0,42  20,1  1,0  0,Lightweight,KO/TKO  Punch,2,0:16
win,Cristian Quinonez  Khalid Taha,0  0,19  6,0  0,0  0,Bantamweight,KO/TKO  Punches,1,3:15
win,Stephanie Egger  Ailin Perez,0  0,15  16,2  1,1  0,Women's Featherweight,SUB  Rear Naked Choke,2,4:54
win,Leon Edwards  Kamaru Usman,1  0,55  83,1  5,1  0,Welterweight,KO/TKO  Kick,5,4:04
win,Paulo Costa  Luke Rockhold,0  0,73  51,2  1,0  0,Middleweight,U-DEC,3,5:00
win,Merab Dvalishvili  Jose Aldo,0  0,57  38,0  0,0  0,Bantamweight,U-DEC,3,5:00
win,Lucie Pudilova  Wu Yanan,0  0,39  26,2  0,1  0,Women's Bantamweight,KO/TKO  Elbows,2,4:04
win,Tyson Pedro  Harry Hunsucker,1  0,6  2,0  0,0  0,Light Heavyweight,KO/TKO  Kick,1,1:05
win,Marcin Tybura  Alexandr Romanov,0  0,47  40,0  2,0  0,Heavyweight,M-DEC,3,5:00
